"","Gene","Exon","Transcript","Junction","DER","Symbol"
"ENSG00000237683",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000239906",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000228463",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000237094",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000233653",TRUE,TRUE,FALSE,TRUE,FALSE,"CICP7"
"ENSG00000225972",TRUE,TRUE,TRUE,FALSE,FALSE,"MTND1P23"
"ENSG00000225630",TRUE,TRUE,TRUE,FALSE,FALSE,"MTND2P28"
"ENSG00000237973",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000229344",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000240409",TRUE,TRUE,TRUE,TRUE,FALSE,"MTATP8P1"
"ENSG00000248527",TRUE,TRUE,TRUE,FALSE,FALSE,"MTATP6P1"
"ENSG00000198744",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000229376",TRUE,TRUE,FALSE,FALSE,TRUE,"CICP3"
"ENSG00000237491",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000225880",TRUE,TRUE,TRUE,FALSE,TRUE,"LINC00115"
"ENSG00000230368",TRUE,TRUE,FALSE,TRUE,TRUE,"FAM41C"
"ENSG00000272438",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000230699",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000241180",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000223764",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000187634",TRUE,TRUE,FALSE,TRUE,TRUE,"SAMD11"
"ENSG00000268179",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000188976",TRUE,TRUE,TRUE,TRUE,TRUE,"NOC2L"
"ENSG00000187961",TRUE,TRUE,TRUE,TRUE,TRUE,"KLHL17"
"ENSG00000187642",TRUE,TRUE,TRUE,TRUE,FALSE,"C1orf170"
"ENSG00000272512",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000188290",TRUE,TRUE,TRUE,TRUE,TRUE,"HES4"
"ENSG00000231702",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000224969",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000187608",TRUE,TRUE,TRUE,TRUE,TRUE,"ISG15"
"ENSG00000188157",TRUE,TRUE,TRUE,TRUE,TRUE,"AGRN"
"ENSG00000217801",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000273443",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000186891",TRUE,TRUE,TRUE,TRUE,TRUE,"TNFRSF18"
"ENSG00000186827",TRUE,TRUE,TRUE,TRUE,TRUE,"TNFRSF4"
"ENSG00000078808",TRUE,TRUE,TRUE,TRUE,TRUE,"SDF4"
"ENSG00000176022",TRUE,TRUE,TRUE,FALSE,TRUE,"B3GALT6"
"ENSG00000184163",TRUE,TRUE,TRUE,TRUE,FALSE,"FAM132A"
"ENSG00000160087",TRUE,TRUE,TRUE,TRUE,TRUE,"UBE2J2"
"ENSG00000230415",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000162572",TRUE,TRUE,TRUE,TRUE,TRUE,"SCNN1D"
"ENSG00000169972",TRUE,TRUE,TRUE,TRUE,TRUE,"PUSL1"
"ENSG00000169962",TRUE,TRUE,FALSE,TRUE,TRUE,"TAS1R3"
"ENSG00000107404",TRUE,TRUE,TRUE,TRUE,TRUE,"DVL1"
"ENSG00000162576",TRUE,TRUE,TRUE,TRUE,TRUE,"MXRA8"
"ENSG00000175756",TRUE,TRUE,TRUE,TRUE,TRUE,"AURKAIP1"
"ENSG00000221978",TRUE,TRUE,TRUE,TRUE,TRUE,"CCNL2"
"ENSG00000242485",TRUE,TRUE,TRUE,TRUE,TRUE,"MRPL20"
"ENSG00000272455",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000235098",TRUE,TRUE,TRUE,TRUE,TRUE,"ANKRD65"
"ENSG00000225905",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000205116",TRUE,TRUE,TRUE,TRUE,TRUE,"TMEM88B"
"ENSG00000225285",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000179403",TRUE,TRUE,TRUE,TRUE,TRUE,"VWA1"
"ENSG00000215915",TRUE,TRUE,TRUE,TRUE,TRUE,"ATAD3C"
"ENSG00000160075",TRUE,TRUE,TRUE,TRUE,TRUE,"SSU72"
"ENSG00000215014",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000228594",TRUE,TRUE,TRUE,FALSE,TRUE,"C1orf233"
"ENSG00000272106",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000197530",TRUE,TRUE,TRUE,TRUE,TRUE,"MIB2"
"ENSG00000189409",TRUE,TRUE,TRUE,TRUE,TRUE,"MMP23B"
"ENSG00000248333",TRUE,TRUE,TRUE,TRUE,TRUE,"CDK11B"
"ENSG00000189339",TRUE,TRUE,TRUE,TRUE,TRUE,"SLC35E2B"
"ENSG00000269737",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000269227",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000268575",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000227775",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000215790",TRUE,TRUE,TRUE,TRUE,TRUE,"SLC35E2"
"ENSG00000008130",TRUE,TRUE,TRUE,TRUE,TRUE,"NADK"
"ENSG00000078369",TRUE,TRUE,TRUE,TRUE,TRUE,"GNB1"
"ENSG00000231050",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000169885",TRUE,TRUE,TRUE,TRUE,TRUE,"CALML6"
"ENSG00000178821",TRUE,TRUE,TRUE,TRUE,TRUE,"TMEM52"
"ENSG00000142609",TRUE,TRUE,TRUE,TRUE,TRUE,"C1orf222"
"ENSG00000233542",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000187730",TRUE,TRUE,TRUE,TRUE,TRUE,"GABRD"
"ENSG00000067606",TRUE,TRUE,TRUE,TRUE,TRUE,"PRKCZ"
"ENSG00000182873",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000162585",TRUE,TRUE,TRUE,TRUE,TRUE,"C1orf86"
"ENSG00000203301",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000234396",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000157933",TRUE,TRUE,TRUE,TRUE,TRUE,"SKI"
"ENSG00000116151",TRUE,TRUE,TRUE,TRUE,TRUE,"MORN1"
"ENSG00000272161",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000269753",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000269896",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000272420",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000157916",TRUE,TRUE,TRUE,TRUE,TRUE,"RER1"
"ENSG00000157911",TRUE,TRUE,TRUE,TRUE,TRUE,"PEX10"
"ENSG00000149527",TRUE,TRUE,TRUE,TRUE,TRUE,"PLCH2"
"ENSG00000224387",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000229393",TRUE,TRUE,TRUE,TRUE,FALSE,""
"ENSG00000157881",TRUE,TRUE,TRUE,TRUE,TRUE,"PANK4"
"ENSG00000197921",TRUE,TRUE,TRUE,TRUE,TRUE,"HES5"
"ENSG00000272449",TRUE,TRUE,TRUE,FALSE,TRUE,""
"ENSG00000238164",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000157873",TRUE,TRUE,TRUE,TRUE,TRUE,"TNFRSF14"
"ENSG00000225931",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000228037",TRUE,TRUE,FALSE,TRUE,FALSE,""
"ENSG00000157870",TRUE,TRUE,TRUE,TRUE,TRUE,"FAM213B"
"ENSG00000142606",TRUE,TRUE,TRUE,TRUE,FALSE,"MMEL1"
"ENSG00000215912",TRUE,TRUE,TRUE,TRUE,TRUE,"TTC34"
"ENSG00000142611",TRUE,TRUE,TRUE,TRUE,TRUE,"PRDM16"
"ENSG00000272235",TRUE,TRUE,FALSE,FALSE,FALSE,""
"ENSG00000130762",TRUE,TRUE,TRUE,TRUE,TRUE,"ARHGEF16"
"ENSG00000162591",TRUE,TRUE,TRUE,TRUE,TRUE,"MEGF6"
"ENSG00000238260",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000158109",TRUE,TRUE,TRUE,TRUE,TRUE,"TPRG1L"
"ENSG00000078900",TRUE,TRUE,FALSE,TRUE,TRUE,"TP73"
"ENSG00000227372",TRUE,TRUE,TRUE,TRUE,TRUE,"TP73-AS1"
"ENSG00000235169",TRUE,TRUE,TRUE,TRUE,FALSE,"SMIM1"
"ENSG00000130764",TRUE,TRUE,TRUE,TRUE,TRUE,"LRRC47"
"ENSG00000266075",TRUE,TRUE,TRUE,FALSE,FALSE,"RN7SL574P"
"ENSG00000272153",TRUE,TRUE,TRUE,FALSE,FALSE,""
"ENSG00000169598",TRUE,TRUE,TRUE,TRUE,TRUE,"DFFB"
"ENSG00000198912",TRUE,TRUE,TRUE,TRUE,TRUE,"C1orf174"
"ENSG00000236423",TRUE,TRUE,FALSE,TRUE,FALSE,"LINC01134"
"ENSG00000233304",TRUE,TRUE,TRUE,TRUE,TRUE,""
"ENSG00000226374",TRUE,TRUE,FALSE,TRUE,FALSE,""
