"EnsemblID","Type","negCorr","posCorr","minFeature","maxFeature","numFeatures","numSigFeatures","Symbol","EntrezID","corDiff"
"ENSG00000187634","Exon",-0.0422793467223764,0.118561787555681,"e454","e432",29,26,"SAMD11",148398,0.160841134278058
"ENSG00000188976","Exon",-0.254205268408545,0.205270925721012,"e492","e510",30,18,"NOC2L",26155,0.459476194129557
"ENSG00000169972","Exon",-0.0184933895479186,0.215561640424783,"e1428","e1425",19,17,"PUSL1",126789,0.234055029972701
"ENSG00000127054","Exon",-0.441994656705031,0.203117906865092,"e1524","e1430",112,76,"CPSF3L",102465435,0.645112563570123
"ENSG00000197785","Exon",-0.202083661684041,0.00638643203252883,"e2244","e2247",24,9,"ATAD3A",83858,0.20847009371657
"ENSG00000248333","Exon",-0.00305486482890815,0.410285464836179,"e2789","e2785",32,12,"CDK11B",728642,0.413340329665087
"ENSG00000078369","Exon",-0.3465493664874,0.00385720953872022,"e3369","e3352",25,17,"GNB1",2782,0.350406576026121
"ENSG00000162585","Exon",-0.503208806588781,0.33609170006558,"e3767","e3754",39,35,"C1orf86",199990,0.839300506654361
"ENSG00000157916","Exon",-0.212585918663694,0.330644171182432,"e3960","e3942",25,23,"RER1",11079,0.543230089846126
"ENSG00000157911","Exon",-0.301980800342578,0.46719567851397,"e4005","e3978",26,24,"PEX10",5192,0.769176478856549
"ENSG00000157881","Exon",-0.0976634717962349,0.25912695910357,"e4245","e4215",45,31,"PANK4",55229,0.356790430899805
"ENSG00000142606","Exon",-0.506410577817454,0.367854016175681,"e4466","e4506",40,33,"MMEL1",79258,0.874264593993135
"ENSG00000142611","Exon",-0.267029665664758,0.210295998225249,"e4687","e4775",38,25,"PRDM16",63976,0.477325663890007
"ENSG00000116213","Exon",-0.177873182541711,0.0623318487717617,"e4990","e5024",29,22,"WRAP73",49856,0.240205031313472
"ENSG00000130764","Exon",-0.214975225047438,0.099244633292799,"e5270","e5258",12,11,"LRRC47",57470,0.314219858340237
"ENSG00000169598","Exon",-0.337476860176036,0.30996047028086,"e5420","e5366",24,21,"DFFB",1677,0.647437330456896
"ENSG00000196581","Exon",-0.0238782915479269,0.22634391239121,"e5473","e5479",10,9,"AJAP1",55966,0.250222203939137
"ENSG00000131697","Exon",-0.0439137739179302,0.337071860590898,"e5621","e5613",54,17,"NPHP4",261734,0.380985634508828
"ENSG00000116251","Exon",-0.504443442002505,0.480228014790122,"e6015","e6019",20,18,"RPL22",6146,0.984671456792627
"ENSG00000097021","Exon",-0.276024717972741,0.593209186066765,"e6160","e6178",23,8,"ACOT7",11332,0.869233904039506
"ENSG00000171680","Exon",-0.567731231867382,0.514472009004237,"e6658","e6593",42,41,"PLEKHG5",57449,1.08220324087162
"ENSG00000041988","Exon",-0.236902840598822,0.328156049003061,"e6867","e6877",23,21,"THAP3",90326,0.565058889601883
"ENSG00000007923","Exon",-0.215343331377412,0.345200048911855,"e6991","e6900",41,35,"DNAJC11",55735,0.560543380289266
"ENSG00000171735","Exon",-0.375676135735511,0.440048845427508,"e7096","e7049",58,34,"CAMTA1",23261,0.815724981163019
"ENSG00000049247","Exon",-0.262425023422817,0.458677496666057,"e7235","e7239",12,6,"UTS2",10911,0.721102520088874
"ENSG00000116285","Exon",-0.207368781858283,0.44358288007605,"e7331","e7335",12,12,"ERRFI1",54206,0.650951661934333
"ENSG00000142599","Exon",-0.451579109045162,0.373387033994483,"e7541","e7511",56,32,"RERE",473,0.824966143039645
"ENSG00000188807","Exon",-0.356726787432921,0.535532177051167,"e7803","e7809",21,12,"TMEM201",199953,0.892258964484088
"ENSG00000171608","Exon",-0.147125951772253,0.27704686656256,"e7915","e7860",39,4,"PIK3CD",5293,0.424172818334813
"ENSG00000173614","Exon",-0.0920309751124134,0.202284013836755,"e8081","e8086",13,13,"NMNAT1",64802,0.294314988949168
"ENSG00000130939","Exon",-0.16780394824485,0.580654907463399,"e8232","e8139",49,47,"UBE4B",10277,0.748458855708249
"ENSG00000054523","Exon",-0.301998950539929,0.2879990262015,"e8376","e8320",65,7,"KIF1B",23095,0.589997976741428
"ENSG00000175279","Exon",-0.520216634005688,0.410947674021342,"e8543","e8545",15,11,"APITD1",100526739,0.931164308027029
"ENSG00000251503","Exon",-0.509321563890165,0.397837943992306,"e8560","e8564",6,5,"APITD1-CORT",100526739,0.907159507882471
"ENSG00000142655","Exon",-0.180385942478692,0.606918727701613,"e8593","e8605",18,16,"PEX14",5195,0.787304670180305
"ENSG00000130940","Exon",-0.171081196097897,0.0815315303804724,"e8645","e8636",36,10,"CASZ1",54897,0.252612726478369
"ENSG00000009724","Exon",-0.182873501997299,0.314057306969489,"e8790","e8799",16,2,"MASP2",10747,0.496930808966788
"ENSG00000230337","Exon",-0.230934555898244,0.25640198374591,"e8949","e8950",4,4,"",101929136,0.487336539644154
"ENSG00000177000","Exon",-0.358940244346538,0.0633613927667521,"e9471","e9506",26,5,"MTHFR",4524,0.422301637113291
"ENSG00000011021","Exon",-0.230257209697509,0.684270935330701,"e9637","e9529",37,35,"CLCN6",1185,0.91452814502821
"ENSG00000242349","Exon",-0.249293572584104,0.341556443367778,"e9647","e9641",6,4,"NPPA-AS1",100379251,0.590850015951882
"ENSG00000116688","Exon",-0.169041887940274,0.680207916826196,"e9766","e9764",31,30,"MFN2",9927,0.849249804766471
"ENSG00000162493","Exon",-0.464337344267251,0.242008040781768,"e10465","e10489",25,24,"PDPN",10630,0.706345385049019
"ENSG00000116731","Exon",-0.390621760959104,0.343977189322701,"e10533","e10560",36,18,"PRDM2",7799,0.734598950281805
"ENSG00000189337","Exon",-0.567787472965675,0.53018645356669,"e10625","e10650",27,24,"KAZN",23254,1.09797392653237
"ENSG00000175147","Exon",-0.552926465644474,0.143440088710682,"e10684","e10679",8,6,"TMEM51-AS1",200197,0.696366554355156
"ENSG00000116138","Exon",-0.288608065959055,0.519628820254507,"e11222","e11228",35,32,"DNAJC16",23341,0.808236886213562
"ENSG00000237938","Exon",-0.199491254097542,0.726818830551133,"e11344","e11342",4,2,"",NA,0.926310084648675
"ENSG00000142627","Exon",-0.0255640670293036,0.00182088094849321,"e11812","e11813",22,4,"EPHA2",1969,0.0273849479777969
"ENSG00000237276","Exon",-0.0282046441171255,0.27345565280559,"e11883","e11881",21,7,"ANO7P1",101927507,0.301660296922715
"ENSG00000268869","Exon",-0.206925257321239,0.229148496834337,"e12325","e12352",16,7,"ESPNP",284729,0.436073754155576
"ENSG00000186715","Exon",-0.206523592723257,0.0704212985383394,"e12496","e12495",33,4,"MST1L",NA,0.276944891261596
"ENSG00000074964","Exon",-0.655593875829605,0.562152099403704,"e13034","e13043",47,44,"ARHGEF10L",55160,1.21774597523331
"ENSG00000117154","Exon",-0.0638891326804557,0.306306038325858,"e13272","e13261",16,9,"IGSF21",84966,0.370195171006313
"ENSG00000159423","Exon",-0.126710891381729,0.420890612892904,"e13406","e13373",12,11,"ALDH4A1",8659,0.547601504274633
"ENSG00000127481","Exon",-0.251464165374828,0.33344124316185,"e14014","e13539",147,22,"UBR4",23352,0.584905408536678
"ENSG00000040487","Exon",-0.150823414922139,0.189470793527389,"e14271","e14266",18,6,"PQLC2",54896,0.340294208449529
"ENSG00000077549","Exon",-0.389707980329769,0.458798950371629,"e14309","e14326",30,26,"CAPZB",832,0.848506930701399
"ENSG00000173436","Exon",-0.282075647221522,0.628458434770144,"e14395","e14393",21,19,"MINOS1",440574,0.910534081991666
"ENSG00000158747","Exon",-0.0123832331205225,0.412011376027363,"e14454","e14457",17,13,"NBL1",100532736,0.424394609147885
"ENSG00000127472","Exon",-0.140525136462144,0.210605670081452,"e14616","e14633",28,15,"PLA2G5",5322,0.351130806543597
"ENSG00000236963","Exon",-0.237011911872782,0.145922655959546,"e14842","e14837",16,16,"LINC01141",339505,0.382934567832328
"ENSG00000090432","Exon",-0.16828790891503,0.178797795142165,"e14855","e14857",4,2,"MUL1",79594,0.347085704057196
"ENSG00000162551","Exon",-0.121335780418551,0.195286712181938,"e15776","e15719",23,22,"ALPL",249,0.31662249260049
"ENSG00000090686","Exon",-0.112464388554797,0.110242359072993,"e16135","e16027",57,26,"USP48",84196,0.22270674762779
"ENSG00000173372","Exon",-0.0783550072458281,0.0641604969259822,"e16548","e16553",6,6,"C1QA",712,0.14251550417181
"ENSG00000159189","Exon",-0.015317333089365,0.0693001859699326,"e16559","e16564",6,6,"C1QC",714,0.0846175190592976
"ENSG00000179546","Exon",-0.0122863367644997,0.005608901765164,"e16783","e16781",3,2,"HTR1D",3352,0.0178952385296637
"ENSG00000057757","Exon",-0.200691302855948,0.585957196379676,"e17169","e17165",9,9,"PITHD1",57095,0.786648499235624
"ENSG00000117308","Exon",-0.247783234689412,0.0593223035542268,"e17345","e17319",39,28,"GALE",2582,0.307105538243638
"ENSG00000117616","Exon",-0.275991790737038,0.454362363886101,"e18322","e18310",55,35,"C1orf63",101928189,0.730354154623139
